Year,Births,Pop,births15_17,births18_19
2006,435436,10693696,138943,296493
2007,444899,,140566,304333
2008,434758,10693696,135664,299094
2009,409802,,124247,285555
2010,367678,10693696,109173,258505
2011,329772,,95538,234234
2012,305388,10525534,86423,218965
2013,273105,,74820,198285
2014,249078,10365885,66791,182287
2015,229715,,61184,168531
2016,209809,10354741,54741,155068
2017,194377,,48547,145830
2018,179871,10472771,44291,135580
2019,171674,,41081,130593
2020,158043,10449871,38587,119456
2021,146973,,35542,111431
2022,143789,10618136,35422,108367
2023,140977,10803918,35714,105263
2024,137427,10803918,34646,102781